iso3c;region_id;country_name;income_id;city_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent;institutional_framework_department_dedicated_to_solid_waste_management_na;institutional_framework_environmental_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_information_system_for_solid_waste_management_na;institutional_framework_performed_a_social_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_unit_enforcing_solid_waste_issues_in_the_city_such_as_illegal_dumping_or_littering_na;legal_framework_long_term_integrated_solid_waste_master_plan_na;legal_framework_master_plan_is_being_implemented_na;legal_framework_solid_waste_management_rules_and_regulations_na;n_waste_pickers_number_of_waste_pickers_number_of_people;percent_informal_sector_percent_collected_by_informal_sector_percent;population_population_number_of_people;primary_collection_mode_form_of_primary_collection_na;separation_breakdonw_cans_and_metals_na;separation_breakdonw_glass_na;separation_breakdonw_organics_na;separation_breakdonw_other_na;separation_breakdonw_paper_cardboard_na;separation_breakdonw_plastics_and_packaging_na;separation_existence_of_source_separation_na;subisidies_other_subsidies_or_transfers_na;subisidies_subsidies_or_transfers_from_a_central_government_authority_na;total_msw_total_msw_generated_tons_year;transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km;transportation_transfer_station_or_colletion_point_aggregation_na;transportation_transfer_stations_operational_number;transportation_transfer_stations_operational_na;transportation_trips_per_year_na;transportation_trips_per_year_trips_year;waste_treatment_advanced_thermal_treatment_percent;waste_treatment_anaerobic_digestion_percent;waste_treatment_compost_percent;waste_treatment_controlled_landfill_percent;waste_treatment_incineration_percent;waste_treatment_landfill_unspecified_percent;waste_treatment_open_dump_percent;waste_treatment_other_percent;waste_treatment_recycling_percent;waste_treatment_sanitary_landfill_landfill_gas_system_percent;waste_treatment_unaccounted_for_percent;waste_treatment_waterways_marine_percent
MLI;SSF;Mali;LIC;Sikasso;;;;;;;;;;;;;;;;;Yes;;;225000.0;Door-to-door collection;;;;;;;;;;46770;;;;;;;;;;;;25.0;;;;;75;
MMR;EAS;Myanmar;LMC;Mandalay;65;2;1;11;6.0;15;;;;Yes;;;;Yes;Yes;;Yes;;5.0;1000000.0;Multiple;;;;;;;;;;343100;17.5;;;;;;;;;;;;;;5.0;;;
MMR;EAS;Myanmar;LMC;Yangon;69;1;1;10;3.0;8;;;8.0;Yes;;;;Yes;None;;Yes;;;4802000.0;Multiple;;;;;;;No;;8200000;723065;17.5;;;;;;;;;;;;87.66;;4.33;;7.67;
MNE;ECS;Montenegro;UMC;Podgorica;37;11.5;2.6;17.54;13.0;15.61;;2.75;;;;;;;;;;;;190392.0;Curbside collection;Yes;Yes;;;Yes;Yes;;;446986;87808;;;;;;;;;;;;;;;;69.79;30.21;
MNE;ECS;Montenegro;UMC;Kotor;;;;;;;;;;;;;;;;;;;;22515.0;Curbside collection;;;;;;;;;209879;10121;;;1.0;;;;;;;59.98;;;;;;;40.02;
MNG;EAS;Mongolia;LMC;Ulaanbaatar;29.5;4.5;3.5;27;17.5;18;;;;Yes;;None;;Yes;Yes;Yes;;200.0;;1377000.0;Door-to-door collection;;;;;;;Yes;;;1100000;15;;;;;;;;;;;;88.85;;3.2;;7.95;
MNP;EAS;Northern Mariana Islands;HIC;Saipan;;;;;;;;;;;;;;;Yes;Yes;Yes;;;49000.0;;;;;;;;;;;32371.85;;;;;;;;;;;;;;;;;;
MOZ;SSF;Mozambique;LIC;Maputo;68;2;4;4;12.0;10;;;;Yes;;;;;Yes;;Yes;;;1100000.0;Other;;;;;;;No;;;401500;10;;;;;;;;;;;;99;;1.0;;;
MRT;SSF;Mauritania;LMC;Nouakchott;5;4;4;59;7.0;21;;;;Yes;;;;;;;Yes;300.0;;968000.0;Centralized drop-off point;Yes;Yes;Yes;;Yes;Yes;No;;;;25;;9.0;;;;;;;;;;;;;;;
MWI;SSF;Malawi;LIC;Blantyre;;;;;;;;;;;;;;;;;;;;701000.0;;;;;;;;;;;100;;;;;;;;;;;;;;;;;70;
MWI;SSF;Malawi;LIC;Lilongwe;;;;;;;;;;;;;;;;;;;;731000.0;;;;;;;;;;;95000;;;;;;;;;;;;;;;;;70;
MYS;EAS;Malaysia;UMC;Kuala Lumpur;42.02;1.84;5.3;2.53;12.9;24.74;2.45;5.74;2.48;Yes;;;;;;;;;;6837000.0;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;1600000;;;;;;;;;;;;;;;10.4;;89.6;
NAM;SSF;Namibia;UMC;Windhoek;36;13;5;10;20.0;16;;;;;;;;;;;;;;227000.0;;;;;;;;;;;57998.5;;;;;;;;;;;;;;;;;;
NER;SSF;Niger;LIC;Niamey;38;;1;57;2.0;2;;;;;;;;;;;Yes;;;816000.0;Door-to-door collection;;;;;;;;;;146000;;;;;;;;;;;;;37.4;52.5;;;10.1;
NGA;SSF;Nigeria;LMC;Ilorin;61;;;32;7.0;;;;;;;;;;;;;;;857000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NGA;SSF;Nigeria;LMC;Lagos;53;5;5;12;10.0;15;;;;;;;;;;;;;;9000000.0;;;;;;;;;;;1642500;;;;;;;;;;;;;;;;;;
NGA;SSF;Nigeria;LMC;Kano;43;2;5;29;17.0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NGA;SSF;Nigeria;LMC;Oyo;56.7;3.1;2.8;4.2;14.4;18.8;;;;;;;;;;;;;;322000.0;;;;;;;;;;;20000;;;;;;;;;;;;;;;;;;
NGA;SSF;Nigeria;LMC;Ibadan;42;4;5;27;10.0;9;;3;;Yes;;;;;;;Yes;200.0;;3160000.0;Door-to-door collection;;;;;;;No;;;635000;;;0.0;;;;;;;;;;44;;;;56;
NIC;LCN;Nicaragua;LMC;Puerto Cabezas;77;3.07;2.03;8.54;2.6;6.66;;;;Yes;;;;;;;;;;66169.0;Door-to-door collection;;;;;;;;;;14198.5;13;;1.0;;;;;;;;;100.0;;;;;;
NIC;LCN;Nicaragua;LMC;Managua;71.72;1.42;1.28;8.64;8.57;8.37;;;;Yes;;;;;;;No;3465.0;;1002882.0;Multiple;Yes;Yes;;;Yes;Yes;Yes;;;468660;;;;;;;;;;;;87.61;;;8.95;;3.44;
NLD;ECS;Netherlands;HIC;Amsterdam;21.5;8.6;2.9;39.2;18.0;6.4;;;3.4;;;Yes;;;Yes;;;;;799345.0;Other;Yes;Yes;;;Yes;Yes;Yes;;;324302;;;;;;;;;;;;;;;14.0;;86;
NLD;ECS;Netherlands;HIC;Eindhoven;39;3;3;17;19.0;14;;2;6.0;;;;;;;;Yes;;;226879.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;Yes;;;;;;;;;;;;;;;;;;;;;
NOR;ECS;Norway;HIC;Bergen;20;4;5;28;18.0;8;;14;3.0;;;;;;Yes;;;;;271949.0;;;;;;;;;;;70528;;;;;;;;;;;39.1;14.5;;;46.4;;;
NOR;ECS;Norway;HIC;Oslo;;;;;;5;;;;Yes;;Yes;;;Yes;Yes;;;;986000.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;Yes;;;360876;;;;;;;;;;;57.85;;;1.547;37.197;3.4;0.006;
