iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent,measurement,units,year,source
MLT,MEA,Malta,HIC,43707.5390625,52.0,6.0,4.0,9.5,18.0,12.0,Yes,Yes,Yes,Yes,502653,7643.0,36523.0,348841.1875,6.69,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
MMR,EAS,Myanmar,LMC,1093.7880859375,,,,,,,,Yes,Yes,Yes,46095464,55000.0,,4677306.52914,,waste_collection_coverage_total_percent_of_waste,Percent of population,,"IGES (Institute for Global Environmental Strategies). n.d. ""Community-based 3 Rs Practices in Myanmar."" U. Mann and Ohnmar Myint."
MNE,ECS,Montenegro,UMC,20752.62109375,33.82,8.97,2.9,19.46,13.72,18.42,Yes,Yes,Yes,No,622227,6200.0,3819.21,329780.3125,5.42,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015.0,"Montenegro, MRT (Ministry of Sustainable Development and Tourism). 2014. ""Waste Management Plan 2014 – 2020 of Montenegro."" Draft (working) Document. Version_v01. February 19."
MNG,EAS,Mongolia,LMC,10940.4150390625,22.7,,,50.1,12.7,14.5,,,Yes,Yes,3027398,14000.0,,2900000.0,,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2016.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
MNP,EAS,Northern Mariana Islands,HIC,60955.7265625,43.6,5.5,10.0,9.3,10.9,16.5,,Yes,Yes,,54036,,,32761.4145,36.0,composition_food_organic_waste_percent,%,2016.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025. Secretariat of the Pacific Regional Environment Programme. Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
MOZ,SSF,Mozambique,LIC,1217.0902099609375,60.0,,,15.0,25.0,,,Yes,Yes,,27212382,17000.0,,2500000.0,1.0,waste_collection_coverage_total_percent_of_waste,Percent of waste,2014.0,"Tas, Adriaan and Antoine Belon. 2014. ""A Comprehensive Review of the Municipal Solid Waste Sector in Mozambique: Background Documentation for the Formulation of Nationally Appropriate Mitigation Actions in the Waste Sector in Mozambique."" Carbon Africa Limited (Nairobi) and Associação Moçambicana de Reciclagem (Maputo), Maputo and Nairobi, June."
MRT,SSF,Mauritania,LMC,4783.6357421875,4.8,4.0,4.2,59.7,7.3,20.0,,,Yes,No,3506288,5100.0,,454000.0,8.0,waste_treatment_controlled_landfill_percent,tonnes/year,2009.0,"GIZ and SWEEP-Net. 2010a. ""Country Report on the Solid Waste Management in Mauritania."" Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ) and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). July."
MUS,SSF,Mauritius,UMC,20646.93359375,64.0,2.8,,8.0,13.0,12.4,,,Yes,Yes,1263473,11000.0,17000.0,438000.0,,waste_treatment_compost_percent,tonnes/year,2012.0,"UNSD (United Nations Statistics Division). 2016b. ""Environmental Indicators: Waste. Municipal Waste Treated."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
MWI,SSF,Malawi,LIC,999.4413452148436,,,,,,,,,,,16577147,9500.0,,1297844.48,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
MYS,EAS,Malaysia,UMC,23906.265625,46.0,3.0,3.0,9.0,14.0,15.0,No,Yes,Yes,Yes,30228016,280000.0,2918478.0,12982685.0,17.5,special_waste_agricultural_waste_tons_year,tonnes/year,1997.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
NAM,SSF,Namibia,UMC,6152.9873046875,,,,,,,,,,,1559983,14000.0,,256729.0,4.5,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
NCL,EAS,New Caledonia,HIC,57330.203125,43.6,5.5,10.0,9.3,10.9,16.5,,,Yes,,278000,,,108157.384,,waste_collection_coverage_total_percent_of_population,Percent of population,2014.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
NER,SSF,Niger,LIC,1038.22412109375,38.0,,1.0,57.0,2.0,2.0,,,Yes,Yes,8842415,7900.0,554000.0,1865645.67,4.0,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
NGA,SSF,Nigeria,LMC,4690.37939453125,,3.1,,11.3,8.0,4.8,,,Yes,Yes,154402176,277000.0,,27614830.07185,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
NIC,LCN,Nicaragua,LMC,4611.84033203125,,,,,,,,,Yes,,5737723,10800.0,2837.0,1528816.29335,,waste_collection_coverage_total_percent_of_waste,Percent of population,2010.0,"IDB (Inter-American Development Bank). 2015. ""Situation of SOLID WASTE management in Latin America and the Caribbean"" [BID (Banco Interamericano de Desarrollo). 2015. ""Situación de la gestión de RESIDUOS SÓLIDOS en América Latina y el Caribe""]."
NLD,ECS,Netherlands,HIC,56849.375,35.0,5.4,4.3,20.24,21.0,14.0,Yes,Yes,Yes,No,17332850,534410.0,4830495.0,8805088.0,24.61,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
NOR,ECS,Norway,HIC,64962.26171875,15.49,4.6,6.12,13.15,26.57,2.25,Yes,Yes,Yes,Yes,5347896,150000.0,1482000.0,4149967.25,26.16,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
NPL,SAS,Nepal,LIC,2902.249267578125,52.39,4.36,1.9,7.12,18.21,15.14,,Yes,Yes,Yes,28982772,23000.0,5051.0,1768977.49,,waste_treatment_compost_percent,tonnes/year,2013.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NRU,EAS,Nauru,UMC,11167.3193359375,43.6,5.5,10.0,9.3,10.9,16.5,,Yes,Yes,No,13049,,,6191.7505,,waste_collection_coverage_total_percent_of_waste,Percent of population,2016.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
NZL,EAS,New Zealand,HIC,41857.4765625,28.0,4.0,4.5,37.0,7.0,8.0,Yes,Yes,Yes,Yes,4692700,95000.0,,3405000.0,,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"New Zealand, MFE (Ministry for the Environment). 2014. ""New Zealand Non-Municipal Landfill Database."" Tonkin and Taylor Ltd. January. TandT Ref: 29310/ ver5."
OMN,MEA,Oman,HIC,30535.833984375,27.0,6.0,,24.0,15.0,21.0,No,Yes,Yes,Yes,3960925,59000.0,1469835.0,1734885.15,,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2009.0,"Be'ah (Oman Environmental Service Holding Company S.A.O.C). 2016. ""Transformation of Waste Management in Oman."" Paper presented by Mohammed al-Harthy at ISWA Energy Recovery WG Meeting, May 25, West Palm Beach, Florida."
PAK,SAS,Pakistan,LMC,4571.41455078125,30.0,6.0,4.0,20.0,13.0,9.0,No,Yes,No,Yes,193203472,301000.0,1538000.0,30760000.0,8.0,special_waste_agricultural_waste_tons_year,tonnes/year,2013.0,"Saeed, M. A., A. Irshad, H. Sattar, G.E. Andrews, H.N. Phylaktou, and B.M. Gibbs. 2015. ""Agricultural Waste Biomass Energy Potential in Pakistan."""
PAN,LCN,Panama,HIC,28436.359375,46.4,5.8,3.8,5.7,26.3,12.0,,,Yes,,3969249,3200.0,,1472262.2151499998,,waste_treatment_controlled_landfill_percent,tonnes/year,2010.0,"IDB-AIDIS-PAHO (Inter-American Development Bank, Inter-American Association of Sanitary and Environmental Engineering, and Pan American Health Organization). 2011. ""Report of the Regional Evalution of the Management of Municipal Solid Waste in Latin American and the Caribbean 2010"" [""Informe de la Evaluación Regional del Manejo de Residuos Sólidos Urbanos en América Latina y el Caribe 2010""]. Inter-American Development Bank (IDB), Inter-American Association of Sanitary and Environmental Engineering [Asociación Interamericana de Ingeniería Sanitaria y Ambiental (AIDIS)], and Pan American Health Organization (PAHO) [Organización Panamericana de la Salud (OPS)]."
PER,LCN,Peru,UMC,11877.083984375,50.43,3.05,2.64,21.7,7.44,10.52,Yes,Yes,Yes,Yes,30973354,182000.0,660180.17927,8356711.13,4.0,waste_treatment_controlled_landfill_percent,tonnes/year,2014.0,"Peru, Ministry of Environment. 2016. ""National Plan for Integrated Solid Waste Management, 2016–2024"" [""Plan Nacional de Gestión Integral de Residuos Sólidos, 2016–2024""]. Ministry of Environment [Ministerio del Ambiente], Government of Peru."
PHL,EAS,Philippines,LMC,7705.04541015625,52.31,2.34,4.22,21.52,8.7,10.55,Yes,Yes,Yes,Yes,103320224,290000.0,4332222.32,14631922.9,28.0,waste_collection_coverage_rural_percent_of_households,Percent of waste,2003.0,"CCAC (Climate and Clean Air Coalition). n.d.(b) ""Solid Waste Management City Profile: Cebu, Philippines."" Accessed April 20, 2017. http://www.waste.ccacoalition.org/sites/default/files/files/cebu_msw_factsheet.pdf"
PLW,EAS,Palau,HIC,18275.025390625,26.0,5.0,10.0,9.0,15.0,32.0,None,None,Yes,None,21503,200.0,,9426.7455,,waste_collection_coverage_total_percent_of_waste,Percent of population,2016.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
PNG,EAS,Papua New Guinea,LMC,3912.381103515625,31.0,,,42.0,16.6,10.0,None,Yes,Yes,Yes,7755785,7000.0,,1000000.0,2.0,waste_treatment_controlled_landfill_percent,tonnes/year,2016.0,"Papua New Guinea, NCDC (National Capital District Commission). 2016. ""NCD Waste Management Plan 2016-2025. For a sustainable Port Moresby."""
POL,ECS,Poland,HIC,33221.54296875,37.27,10.07,2.17,26.69,11.27,12.13,,Yes,Yes,Yes,37970872,224452.0,1679051.0,12758213.0,26.39,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
PRI,LCN,Puerto Rico,HIC,34311.03125,13.1,2.4,10.4,23.8,19.4,10.4,,Yes,Yes,Yes,3473181,946.44,4.92,4170953.0,14.0,special_waste_e_waste_tons_year,tonnes/year,2007.0,"Energy Answers. 2012. ""Materials Separation Plan."" Energy Answers Arecibo LLC., Energy Answers International Inc. April."
PRT,ECS,Portugal,HIC,34961.9453125,36.49,6.73,1.85,27.680000000000003,13.64,10.72,Yes,Yes,Yes,Yes,10269417,170078.0,701228.0,5268211.0,16.23,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
PRY,LCN,Paraguay,UMC,11810.427734375,,,,,,,,,Yes,,6639119,34200.0,,1818501.3648,,waste_treatment_controlled_landfill_percent,tonnes/year,2010.0,"IDB-AIDIS-PAHO (Inter-American Development Bank, Inter-American Association of Sanitary and Environmental Engineering, and Pan American Health Organization). 2011. ""Report of the Regional Evalution of the Management of Municipal Solid Waste in Latin American and the Caribbean 2010"" [""Informe de la Evaluación Regional del Manejo de Residuos Sólidos Urbanos en América Latina y el Caribe 2010""]. Inter-American Development Bank (IDB), Inter-American Association of Sanitary and Environmental Engineering [Asociación Interamericana de Ingeniería Sanitaria y Ambiental (AIDIS)], and Pan American Health Organization (PAHO) [Organización Panamericana de la Salud (OPS)]."
PSE,MEA,West Bank and Gaza,LMC,5985.68310546875,59.1,2.4,2.7,11.5,10.1,14.2,Yes,Yes,Yes,,4046901,,62621.0,1387000.0,0.5,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"GIZ and SWEEP-Net. 2014g. ""Country Report on the Solid Waste Management in Occupied Palestinian Territories."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). April."
PYF,EAS,French Polynesia,HIC,60955.7265625,47.0,3.0,3.0,29.0,16.0,2.0,,Yes,No,No,273528,,,147000.0,39.0,waste_collection_coverage_total_percent_of_waste,Percent of population,2016.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
QAT,MEA,Qatar,HIC,96261.6640625,57.0,4.0,9.0,5.0,11.0,14.0,Yes,Yes,Yes,,2109568,29000.0,105000.0,1000990.016,3.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014.0,"Qatar, MDPS (Ministry of Development Planning and Statistics). 2014. ""Environment Statistics Annual Report 2013."" Ministry of Development Planning and Statistics, Government of Qatar. August. http://www.mdps.gov.qa."
ROU,ECS,Romania,UMC,29983.556640625,56.26,4.89,2.5,10.68,11.34,12.33,Yes,Yes,Yes,Yes,19356544,132268.0,590300.0,5419832.5,5.67,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
RUS,ECS,Russian Federation,UMC,26012.849609375,28.41,16.82,1.83,19.03,19.7,14.21,Yes,Yes,Yes,Yes,143201680,1392000.0,110000000.0,60000000.0,4.5,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
RWA,SSF,Rwanda,LIC,1950.528076171875,,,,,,,,,,,11917508,5900.0,,4384969.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
SAU,MEA,Saudi Arabia,HIC,48921.23046875,45.5,4.0,5.0,2.5,27.0,11.0,Yes,Yes,yes,,31557144,508000.0,697000.0,16125700.584,15.0,waste_treatment_controlled_landfill_percent,tonnes/year,2015.0,"Saudi Arabia. n.d. ""National Transformation Program 2020."" Program by Vision 2030. http://vision2030.gov.sa/sites/default/files/NTP_En.pdf."
SDN,SSF,Sudan,LMC,4191.8232421875,51.4,3.5,1.7,18.9,11.8,12.7,,,,,38647804,51000.0,,2831291.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
SEN,SSF,Senegal,LIC,3067.66259765625,12.0,2.0,2.0,68.0,5.0,9.0,No,No,Yes,Yes,15411614,15000.0,,2454059.25,,waste_treatment_controlled_landfill_percent,tonnes/year,2014.0,"ANSD (National Agency of Statistics and Demography). 2014. ""General Census of Population and Housing, Agriculture and Livestock. Final Report."" [Agence Nationale de la Statistique et de la Démographie. 2014. ""Recensement Général de la Population et de l’Habitat,de l’Agriculture et de l’Elevage. RAPPORT DEFINITIF""]."
SGP,EAS,Singapore,HIC,97341.46875,10.51,0.93,19.12,32.3,14.86,10.58,Yes,Yes,Yes,Yes,5703600,100000.0,446870.0,1870000.0,61.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2017.0,"Singapore, NEA (National Environment Agency). 2017. ""Waste Statistics and Overall Recycling."" National Environment Agency (NEA), Government of Singapore. http://www.nea.gov.sg/energy-waste/waste-management/waste-statistics-and-overall-recycling."
SLB,EAS,Solomon Islands,LMC,2596.452880859375,42.8,6.65,13.15,3.7,6.45,22.35,No,Yes,Yes,No,563513,400.0,,179971.964375,,waste_collection_coverage_total_percent_of_waste,Percent of population,2016.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
SLE,SSF,Sierra Leone,LIC,1237.6302490234375,,,,,,,,,,,5439695,3400.0,,610222.09,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
SLV,LCN,El Salvador,LMC,7328.71337890625,65.0,4.0,2.0,7.0,12.0,10.0,,Yes,Yes,Yes,6164626,30100.0,16465.0,1648996.18,,waste_collection_coverage_total_percent_of_waste,Percent of population,2010.0,"IDB (Inter-American Development Bank). 2015. ""Situation of SOLID WASTE management in Latin America and the Caribbean"" [BID (Banco Interamericano de Desarrollo). 2015. ""Situación de la gestión de RESIDUOS SÓLIDOS en América Latina y el Caribe""]."
SMR,ECS,San Marino,HIC,58806.19921875,5.35,5.61,0.9,65.56,13.21,5.6,,,,,33203,,,17174.68,45.05,composition_food_organic_waste_percent,%,2016.0,"San Marino, AASS (Autonomous State Company for Public Services). 2016. ""Collection Data"" [""Dati di raccolta""]. Autonomous State Company for Public Services [Azienda Autonoma di Stato per i Servizi Pubblici (AASS)], Government of San Marino. http://www.aass.sm/site/home/ambiente/dati-di-raccolta/2016.html."
SOM,SSF,Somalia,LIC,1862.6141357421875,,,,,,,,,,,14317996,,,2326099.17,,total_msw_total_msw_generated_tons_year,tonnes/year,2016.0,
SRB,ECS,Serbia,UMC,18351.2734375,37.62,5.44,1.38,16.72,13.57,12.73,Yes,Yes,Yes,Yes,6944975,14388.0,13475026.0,2347401.5,0.76,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
SSD,SSF,South Sudan,LIC,1795.991943359375,,,,,,,,,,,11177490,,,2680681.0,,total_msw_total_msw_generated_tons_year,tonnes/year,2013.0,"UNEP (United Nations Environment Programme). 2013. ""Municipal Solid Waste Composition Analysis Study: Juba, South Sudan,"" by Michael J. Cowing. United Nations Environment Programme (UNEP). April."
STP,SSF,São Tomé and Príncipe,LMC,3720.786865234375,,,,,,,,,,,191266,200.0,,25586.5,,waste_collection_coverage_total_percent_of_waste,Percent of population,2010.0,"São Tomé and Príncipe. 2010. ""National Plan for the Integrated Management of Urban Solid Waste."""
SUR,LCN,Suriname,UMC,16953.802734375,57.0,3.0,3.0,24.0,,11.0,No,No,No,No,526103,5000.0,,78619.79914999999,,waste_collection_coverage_rural_percent_of_households,Percent of population,2009.0,"IDB (Inter American Development Bank). 2009. ""2010 Vision and Solid Waste: Strategic Solid Waste Management Plan for Suriname 2010–2020"". Washington, DC."
