iso3c,region_id,country_name,income_id,city_name,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,institutional_framework_department_dedicated_to_solid_waste_management_na,legal_framework_long_term_integrated_solid_waste_master_plan_na,legal_framework_solid_waste_management_rules_and_regulations_na,population_population_number_of_people,primary_collection_mode_form_of_primary_collection_na,separation_existence_of_source_separation_na,total_msw_total_msw_generated_tons_year,measurement,units,year,source
NIC,LCN,Nicaragua,LMC,Managua,71.72,1.42,1.28,8.64,8.57,8.37,Yes,,No,1002882.0,Multiple,Yes,468660,population_population_number_of_people,# of people,2010.0,"Wilson, David C., Ljiljana Rodic, Anne Scheinberg, Costas A. Velis, and Graham Alabaster. 2012. ""Comparative analysis of solid waste management in 20 cities."" Waste Management and Research, 2012, 30(3), 237-25."
NLD,ECS,Netherlands,HIC,Amsterdam,21.5,8.6,2.9,39.2,18.0,6.4,,Yes,,799345.0,Other,Yes,324302,population_population_number_of_people,# of people,2013.0,"European Commission. 2014a. ""Capital factsheet - Amsterdam."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2."
NLD,ECS,Netherlands,HIC,Eindhoven,39,3,3,17,19.0,14,,,Yes,226879.0,Curbside collection,Yes,,population_population_number_of_people,# of people,2017.0,"City Population. 2018a. ""Eindhoven."" https://citypopulation.de/php/netherlands-admin.php?adm2id=0772."
NOR,ECS,Norway,HIC,Bergen,20,4,5,28,18.0,8,,Yes,,271949.0,,,70528,population_population_number_of_people,# of people,2014.0,"Statistics Norway. 2018. ""Population and population changes."" [Statistisk sentralbyrå.] https://www.ssb.no/en/statbank/table/11727/tableViewLayout1/"
NOR,ECS,Norway,HIC,Oslo,,,,,,5,Yes,Yes,,986000.0,Curbside collection,Yes,360876,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
NPL,SAS,Nepal,LIC,Butwal,61.13,3.71,1.56,7.85,11.38,13.46,,No,Yes,120982.0,Centralized drop-off point,,9902.4500000000007,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Pokhara,56.34,4.82,4.18,4.88,17.97,9.92,,Yes,Yes,264991.0,Door-to-door collection,No,42745.15,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Dhankuta,48.66,0,2.37,13.84,17.12,17.85,,No,Yes,28364.0,Door-to-door collection,No,2701,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Birgunj,55.08,9.72,1.23,8.58,10.91,14.46,,No,Yes,139068.0,Door-to-door collection,,13932.05,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Kathmandu,53.24,3.21,2.09,3.38,17.31,20.14,,Yes,Yes,1003285.0,Multiple,No,170141.1,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
