regionID,iso3c,country_name,city_name,incomeID,measurement,units,year,source
SAS,IND,India,Srinagar,LMC,population_population_number_of_people,# of people,2011.0,"Census of India. 2014. ""Databook for PC 2011."" December 22."
MEA,ARE,United Arab Emirates,Abu Dhabi,HIC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
LCN,ARG,Argentina,Rosario,UMC,population_population_number_of_people,# of people,2015.0,"Anon. n.d.(c) ""Province of Santa Fe"" [""PROVINCIA DE SANTA FE""]."
LCN,ARG,Argentina,Córdoba,UMC,population_population_number_of_people,# of people,2010.0,"Anon. n.d.(b) ""Province of Cordoba"" [""PROVINCIA DE CÓRDOBA""]."
LCN,ARG,Argentina,Ciudada Autónoma De Buenos Aires (Caba).,UMC,population_population_number_of_people,# of people,2014.0,"Morton, J. 2017. Personal communication between J. Morton (World Bank) and R. Poveda (World Bank). Data from Permanent Survey of Households (National Institute of Statistics, INDEC), fourth semester 2014."
SAS,NPL,Nepal,Pokhara,LIC,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
MEA,DJI,Djibouti,Djiibouti City,LMC,population_population_number_of_people,# of people,2000.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SAS,IND,India,Pimpri-Chinchwad,LMC,population_population_number_of_people,# of people,2011.0,"Census of India. 2014. ""Databook for PC 2011."" December 22."
ECS,ARM,Armenia,Spitak,LMC,population_population_number_of_people,# of people,2013.0,"ERM (Environmental Resources Management) GmbH. 2014. ""Integrated Solid Waste Management Vanadzor, Armenia: Feasibility Study Report.” December."
ECS,DNK,Denmark,Copenhagen,HIC,population_population_number_of_people,# of people,2014.0,"European Commission. 2014f. ""Capital factsheet - Copenhagen."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2."
LCN,DOM,Dominican Republic,Santo Domingo,UMC,population_population_number_of_people,# of people,2013.0,"Nippon Koei. n.d. ""Master Plan for the Integral Management of Solid Waste in the Commonwealth of Municipalities of Greater Santo Domingo"" [""Plan Maestro para el Manejo Integral de los Residuos Solidos en la Mancomunidad de Ayuntamientos del Gran Santo Domingo""]."
ECS,ARM,Armenia,Vanadzor,LMC,population_population_number_of_people,# of people,2013.0,"ERM (Environmental Resources Management) GmbH. 2014. ""Integrated Solid Waste Management Vanadzor, Armenia: Feasibility Study Report.” December."
EAS,AUS,Australia,Canberra,HIC,population_population_number_of_people,# of people,2010.0,"Australian Capital Territory, Canberra. 2010. ""Canberra Quick Stats 2009-2010."" April. "
SAS,LKA,Sri Lanka,Moratuwa,LMC,population_population_number_of_people,# of people,2015.0,"JICA (Japan International Cooperation Agency). 2016. ""Data Collection Survey on Solid Waste Management in Democratic Socialist Republic of Sri Lanka: Final Report.""  Kokusai Kogyo Co., Ltd. February."
EAS,AUS,Australia,Melbourne,HIC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
EAS,AUS,Australia,Perth,HIC,population_population_number_of_people,# of people,2013.0,"City of Perth. 2014. ""City of Perth Waste Strategy 2014-2024+."" Hyder Consulting. March. https://www.perth.wa.gov.au/sites/default/files/City%20of%20Perth%20Waste%20Strategy%202014%20-%202024%2B.pdf."
ECS,AUT,Austria,Vienna,HIC,population_population_number_of_people,# of people,2013.0,"European Commission. 2014o. ""Capital factsheet - Vienna."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2."
NAC,USA,United States,Seattle,HIC,population_population_number_of_people,# of people,2015.0,"Anon. n.d.(d) ""Seattle Solid Waste Plan 2011 Revision."" Chapter 2: Seattle Solid Waste Trends."
ECS,AZE,Azerbaijan,Baku,UMC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
MEA,EGY,"Egypt, Arab Rep.",Cairo,LMC,population_population_number_of_people,# of people,2014.0,"World Bank. 2014a. ""Cairo Municipal Solid Waste Management Project."" (PID) Project Information Document Concept Stage."
ECS,LTU,Lithuania,Kaunas,HIC,population_population_number_of_people,# of people,2017.0,"City Population. 2018b. ""Kaunas."" https://citypopulation.de/php/lithuania-admin.php?adm2id=024."
ECS,ESP,Spain,Madrid,HIC,population_population_number_of_people,# of people,2014.0,"European Commission. 2014k. ""Capital factsheet - Madrid."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2."
ECS,ESP,Spain,Pamplona,HIC,population_population_number_of_people,# of people,2016.0,"City Population. 2017g. ""Navarra."" Accessed June 27, 2017. https://citypopulation.de/Spain-Navarra.html."
ECS,LTU,Lithuania,Vilnius,HIC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SSF,BDI,Burundi,Kayanza,LIC,population_population_number_of_people,# of people,2008.0,"Burundi. 2010. ""Third General Census of Population and Habitat 2008."" [TROISIEME RECENSEMENT GENERAL DE LA POPULATION ET DE L'HABITAT DE 2008.] Republic of Burundi. [République du Burundi.] http://www.paris21.org/sites/default/files/BURUNDI-population-2008.PDF."
SSF,BDI,Burundi,Ngozi,LIC,population_population_number_of_people,# of people,2012.0,"Mbuligwe, S. E. 2013. ""Solid Waste Management Assessment within Urban Settings in Burundi, Rwanda, and Tanzania."" United Nations Human Settlements Programme (UN-Habitat)."
SSF,BDI,Burundi,Muyinga,LIC,population_population_number_of_people,# of people,2008.0,"Burundi. 2010. ""Third General Census of Population and Habitat 2008."" [TROISIEME RECENSEMENT GENERAL DE LA POPULATION ET DE L'HABITAT DE 2008.] Republic of Burundi. [République du Burundi.] http://www.paris21.org/sites/default/files/BURUNDI-population-2008.PDF."
SSF,BDI,Burundi,Bujumbura,LIC,population_population_number_of_people,# of people,2005.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
ECS,BEL,Belgium,Liege,HIC,population_population_number_of_people,# of people,2014.0,"Intradel (Association intermunicipal treatment waste Liege). 2014. ""Annual Report 2014."" [Intradel (Association Intercommunale de Traitement des Déchets Liégeois). 2014.""RAPPORT ANNUEL 2014.""]"
ECS,BEL,Belgium,Brussels,HIC,population_population_number_of_people,# of people,2013.0,"European Commission. 2014d. ""Capital factsheet - Brussels."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2."
LCN,BRA,Brazil,Sao Paulo,UMC,population_population_number_of_people,# of people,2014.0,"CCAC (Climate and Clean Air Coalition). n.d.(g) ""Solid Waste Management City Profile: São Paulo, Brazil.""  Municipal Solid Waste Initiative."
SSF,ETH,Ethiopia,Bati,LIC,population_population_number_of_people,# of people,2015.0,"WaterAid. 2015b. ""Solid Waste Generation Rate and Characterization Study for Bati Town."" Getaneh Gebre Consultancy Service. November."
SSF,BEN,Benin,Porto Novo,LIC,population_population_number_of_people,# of people,2000.0,"Achankeng, Eric. 2003. ""Globalization, Urbanization and Municipal Solid Waste Management in Africa."" Paper presented at African Studies Association of Australasia and the Pacific, ""African on a Global Stage,"" Adelaide, Australia."
SSF,ETH,Ethiopia,Addis Ababa,LIC,population_population_number_of_people,# of people,2010.0,"Colby College Environmental Policy Group. 2012. ""Environmental Policy Update 2012: Development Strategies and Environmental Policy in East Africa."" Waterville, Maine: Colby College Environmental Studies Program."
SSF,BEN,Benin,Cotonou,LIC,population_population_number_of_people,# of people,2000.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
ECS,MDA,Moldova,Soldanesti,LMC,population_population_number_of_people,# of people,2016.0,"National Bureau of Statistics, Statistical Databank. n.d. ""Population and demographic processes."" http://statbank.statistica.md/pxweb/pxweb/en/20%20Populatia%20si%20procesele%20demografice/?rxid=ee2e0d8f-d6a3-4787-83a8-c2e61c9177b3."
ECS,XKX,Kosovo,Pristina,LMC,population_population_number_of_people,# of people,2017.0,"World Population Review. 2018c. ""Kosovo Population."" http://worldpopulationreview.com/countries/kosovo-population/."
SSF,BFA,Burkina Faso,Ouagadougou,LIC,population_population_number_of_people,# of people,2000.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SSF,BFA,Burkina Faso,Bobo Dioulasso,LIC,population_population_number_of_people,# of people,2000.0,"Karak, Tanmoy, R. M. Bhagat, and Pradip Bhattacharyya. 2012. ""Municipal Solid Waste Generation, Composition, and Management: The World Scenario."" Critical Reviews in Environmental Science and Technology, 42:1509-1630. Taylor and Francis Group, LLC. ISSN: 1064-3389 print / 1547-6537 online."
SAS,IND,India,Amritsar,LMC,population_population_number_of_people,# of people,2011.0,"Census of India. 2014. ""Databook for PC 2011."" December 22."
